Grade	Team	Abbrev	Playing	Mascot
3/4	Conway 1	C1	Yes	Cobras
3/4	Deerfield 1	D1	Yes	Fluffy Bunnies
3/4	Deerfield 2	D2	Yes	Tigers
3/4	Deerfield 3	D3	Yes	Blue Jays
3/4	Hadley 1	HD1	No	
3/4	Hatfield 1	HT1	Yes	Falcons
3/4	Sunderland 1	S1	Yes	Little Dudes
3/4	Sunderland 2	S2	Yes	Thunder
3/4	Whately 1	W1	Yes	Werewolves
3/4	Whately 2	W2	Yes	Vultures
5/6	Conway 1	C1	Yes	Kings
5/6	Deerfield 1	D1	Yes	Jaguars
5/6	Deerfield 2	D2	Yes	Longshots
5/6	Deerfield 3	D3	No	
5/6	Hadley 1	HD1	No	
5/6	Hatfield 1	HT1	Yes	Falcons
5/6	Hatfield 2	HT2	Yes	Hawks
5/6	Sunderland 1	S1	Yes	Swampers
5/6	Sunderland 2	S2	Yes	Stingrays
5/6	Whately 1	W1	Yes	Werewolverines
5/6	Whately 2	W2	Yes	Warriors
7/8/9	Team 1	T1	Yes	Garbage
7/8/9	Team 2	T2	Yes	Big Red
7/8/9	Team 3	T3	Yes	Snakes
7/8/9	Team 4	T4	Yes	Red Barons
7/8/9	Team 5	T5	Yes	Splash Mountain
